agent,contrast,task,sr_ref,sr_treat,delta_sr,p_value,q_value,victim
qwen3-vl-plus,C2_order_main,qq_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,qq_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,qq_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,qq_2,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,qq_20,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,qq_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,rimet_16,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,rimet_17,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,rimet_18,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,rimet_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,rimet_4,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,seeyou_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,seeyou_5,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,seeyou_6,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,seeyou_7,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,tonghuashun_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,tonghuashun_28,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,tonghuashun_29,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,tonghuashun_9,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,wuba_12,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,wuba_23,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,wuba_24,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,wuba_26,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,wuba_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C2_order_main,wuba_7,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,articlenews_12,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,articlenews_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,articlenews_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,articlenews_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,articlenews_19,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,articlenews_4,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,baidubrowser_13,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,baidubrowser_14,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,baidubrowser_15,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,baidubrowser_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,baidubrowser_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,baidubrowser_18,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,baidubrowser_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,bili_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,bili_17,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,bili_18,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,bili_27,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,bili_28,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,fanqieread_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,fanqieread_18,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,fanqieread_25,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,fanqieread_26,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,fanqieread_5,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,fanqieread_6,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,minimap_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,minimap_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,minimap_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,neteasemusic_19,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,neteasemusic_21,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,neteasemusic_22,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,neteasemusic_28,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,neteasemusic_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,neteasemusic_8,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,pinduoduo_16,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,pinduoduo_26,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,pinduoduo_27,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,pinduoduo_28,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,pinduoduo_7,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,qq_12,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,qq_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,qq_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,qq_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,qq_2,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,qq_20,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,qq_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,rimet_16,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,rimet_17,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,rimet_18,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,rimet_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,rimet_4,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,seeyou_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,seeyou_5,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,seeyou_6,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,seeyou_7,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,tonghuashun_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,tonghuashun_28,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,tonghuashun_29,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,tonghuashun_9,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,wuba_12,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,wuba_23,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,wuba_24,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,wuba_26,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,wuba_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,C3_combined,wuba_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,articlenews_12,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,articlenews_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,articlenews_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,articlenews_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,articlenews_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,articlenews_4,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,baidubrowser_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,baidubrowser_14,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,baidubrowser_15,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,baidubrowser_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,baidubrowser_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,baidubrowser_18,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,baidubrowser_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,bili_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,bili_17,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,bili_18,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,bili_27,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,bili_28,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,fanqieread_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,fanqieread_18,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,fanqieread_25,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,fanqieread_26,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,fanqieread_5,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,fanqieread_6,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,minimap_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,minimap_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,minimap_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,neteasemusic_19,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,neteasemusic_21,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,neteasemusic_22,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,neteasemusic_26,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,neteasemusic_28,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,neteasemusic_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,neteasemusic_8,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,pinduoduo_16,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,pinduoduo_26,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,pinduoduo_27,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,pinduoduo_28,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,pinduoduo_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,qq_12,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,qq_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,qq_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,qq_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,qq_2,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,qq_20,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,qq_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,rimet_16,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,rimet_17,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,rimet_18,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,rimet_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,rimet_4,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,seeyou_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,seeyou_5,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,seeyou_6,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,seeyou_7,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,tonghuashun_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,tonghuashun_28,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,tonghuashun_29,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,tonghuashun_9,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,wuba_12,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,wuba_23,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,wuba_24,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,wuba_26,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,wuba_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,order:shuffle,wuba_7,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,articlenews_12,1.0000,1.0000,+0.0000,1.000000,1.000000,0
